outcome,model,term,coef,std_err_cluster_country,p_value,ci_low,ci_high,stars,nobs,r2,clusters_country,alpha_fixed
algebraic_connectivity_vitality_w,DML_global,populism_gov_annual_l1,0.00040334431655757045,0.002452161076423929,0.8698100660143709,-0.00448494944887989,0.00529163808199503,,1689,0.7643310376413481,73,0.001
algebraic_connectivity_vitality_w,DML_global,algebraic_connectivity_vitality_w_lag1,0.8655110674564307,0.03068408513086194,1.1849986100191147e-40,0.8043434616717061,0.9266786732411553,***,1689,0.7643310376413481,73,0.001
efficiency_vitality_w,DML_global,populism_gov_annual_l1,8.428108911369392e-06,0.00046867412371301377,0.9857022541101501,-0.0009258566813477024,0.0009427128991704412,,1689,0.9443512859494034,73,0.001
efficiency_vitality_w,DML_global,efficiency_vitality_w_lag1,0.9728497799024256,0.011554091906791318,1.1417532786580269e-73,0.9498171186403743,0.9958824411644769,***,1689,0.9443512859494034,73,0.001
flow_betweenness_log1p_w,DML_global,populism_gov_annual_l1,0.058223889364190665,0.031118738454786302,0.06540529093407896,-0.003810181985905582,0.1202579607142869,*,1689,0.4961296393064575,73,0.001
flow_betweenness_log1p_w,DML_global,flow_betweenness_log1p_w_lag1,0.7161047945642401,0.06640507068067192,1.1036924147991203e-16,0.5837287055207142,0.8484808836077661,***,1689,0.4961296393064575,73,0.001
communicability_betweenness_asinh_w,DML_global,populism_gov_annual_l1,0.050929978392730155,0.03180393597500972,0.11367300807921449,-0.012470009249898537,0.11432996603535885,,1689,0.6728537266578327,73,0.001
communicability_betweenness_asinh_w,DML_global,communicability_betweenness_asinh_w_lag1,0.8802604334540086,0.01748152472914645,7.203932703509262e-58,0.8454116508167566,0.9151092160912606,***,1689,0.6728537266578327,73,0.001
shannon_entropy_w,DML_global,populism_gov_annual_l1,0.01601411851607374,0.009045007748965078,0.08087805710830312,-0.0020167748916624546,0.03404501192380993,*,1689,0.7200952140178691,73,0.001
shannon_entropy_w,DML_global,shannon_entropy_w_lag1,0.8430866159914526,0.03488795264816154,2.8336485649345823e-36,0.773538753471918,0.9126344785109872,***,1689,0.7200952140178691,73,0.001
participation_coefficient_w,DML_global,populism_gov_annual_l1,0.010622538014646483,0.010098888303951864,0.29638482821655276,-0.009509227883069262,0.030754303912362228,,1689,0.3696049151979325,73,0.001
participation_coefficient_w,DML_global,participation_coefficient_w_lag1,0.5789578532319376,0.05422457673092859,1.7219248161922806e-16,0.47086313510117034,0.6870525713627048,***,1689,0.3696049151979325,73,0.001
within_module_degree_zscore_w,DML_global,populism_gov_annual_l1,-0.017526469686443398,0.021194202356892136,0.41099968112373064,-0.059776339909367045,0.02472340053648025,,1689,0.513860963067974,73,0.001
within_module_degree_zscore_w,DML_global,within_module_degree_zscore_w_lag1,0.6880391237681476,0.08515537055631095,1.0880545795570246e-11,0.5182849950585506,0.8577932524777445,***,1689,0.513860963067974,73,0.001
laplacian_centrality_log_w,DML_global,populism_gov_annual_l1,0.042029521382836756,0.03725105253130078,0.26294839559514227,-0.032229094658118844,0.11628813742379235,,1689,0.4661951213213025,73,0.001
laplacian_centrality_log_w,DML_global,laplacian_centrality_log_w_lag1,0.7566470761020363,0.0305963921324315,6.412459706857333e-37,0.6956542831147342,0.8176398690893384,***,1689,0.4661951213213025,73,0.001
algebraic_connectivity_vitality_w,DML_americas,populism_gov_annual_l1,-0.004408992387679743,0.003577216631971961,0.2527455380827283,-0.012658068733528203,0.0038400839581687173,,193,0.17884150623654094,9,0.001
algebraic_connectivity_vitality_w,DML_americas,algebraic_connectivity_vitality_w_lag1,0.41986931070682765,0.0620199758581938,0.00014212622170047735,0.2768509899125702,0.5628876315010851,***,193,0.17884150623654094,9,0.001
efficiency_vitality_w,DML_americas,populism_gov_annual_l1,-0.0006756978320250052,0.003739130497968385,0.8610893595083423,-0.009298148222408114,0.007946752558358102,,193,0.8805182247158171,9,0.001
efficiency_vitality_w,DML_americas,efficiency_vitality_w_lag1,0.9851644565697762,0.03443795400893507,2.411215199214481e-09,0.9057503922172011,1.0645785209223515,***,193,0.8805182247158171,9,0.001
flow_betweenness_log1p_w,DML_americas,populism_gov_annual_l1,0.06610620924778779,0.04535388905994901,0.18306721829980166,-0.038480046472045615,0.1706924649676212,,193,0.5730430021964208,9,0.001
flow_betweenness_log1p_w,DML_americas,flow_betweenness_log1p_w_lag1,0.7821764530448475,0.08027480341774779,1.0300131950088947e-05,0.5970624244108196,0.9672904816788754,***,193,0.5730430021964208,9,0.001
communicability_betweenness_asinh_w,DML_americas,populism_gov_annual_l1,-0.01025553844119539,0.06948000740781185,0.8863074788142123,-0.1704767228376256,0.14996564595523482,,193,0.6515173410205175,9,0.001
communicability_betweenness_asinh_w,DML_americas,communicability_betweenness_asinh_w_lag1,0.8336513775323044,0.04535952695605494,7.908346223651389e-08,0.7290521208007369,0.938250634263872,***,193,0.6515173410205175,9,0.001
shannon_entropy_w,DML_americas,populism_gov_annual_l1,0.05659864921691492,0.02253741311283812,0.036296235617924104,0.004627281381905622,0.1085700170519242,**,193,0.8127724139689976,9,0.001
shannon_entropy_w,DML_americas,shannon_entropy_w_lag1,0.8914492096288014,0.05547486529091365,2.2568430143559003e-07,0.7635239408680604,1.0193744783895422,***,193,0.8127724139689976,9,0.001
participation_coefficient_w,DML_americas,populism_gov_annual_l1,0.03880597094133222,0.011846325344553012,0.011258532203206885,0.01148829570981906,0.06612364617284539,**,193,0.5670308087417136,9,0.001
participation_coefficient_w,DML_americas,participation_coefficient_w_lag1,0.6305730461682022,0.13813933188498856,0.0018383822012395436,0.31202317560707793,0.9491229167293265,***,193,0.5670308087417136,9,0.001
within_module_degree_zscore_w,DML_americas,populism_gov_annual_l1,-0.1912510160614304,0.0910623478051174,0.06891387547156778,-0.40124116666143117,0.018739134538570318,*,193,0.20741582532170966,9,0.001
within_module_degree_zscore_w,DML_americas,within_module_degree_zscore_w_lag1,0.3779488684709884,0.10536389067358683,0.00711461118410579,0.13497930087649754,0.6209184360654793,***,193,0.20741582532170966,9,0.001
laplacian_centrality_log_w,DML_americas,populism_gov_annual_l1,-0.02986669492531198,0.07264864689894117,0.6917829554990259,-0.19739477509125763,0.13766138524063365,,193,0.5760185076278186,9,0.001
laplacian_centrality_log_w,DML_americas,laplacian_centrality_log_w_lag1,0.8397013649131592,0.09763492685881411,2.5843927337075486e-05,0.6145548198363775,1.0648479099899408,***,193,0.5760185076278186,9,0.001
